ÎÂ¶È,×èÖµ£¨K¦¸£©
-40,197.39
-39,186.54
-38,176.35
-37,166.8
-36,157.82
-35,149.39
-34,141.51
-33,134.09
-32,127.11
-31,120.53
-30,114.34
-29,108.53
-28,103.04
-27,97.87
-26,92.989
-25,88.381
-24,84.036
-23,79.931
-22,76.052
-21,72.384
-20,68.915
-19,65.634
-18,62.529
-17,59.589
-16,56.804
-15,54.166
-14,51.665
-13,49.294
-12,47.046
-11,44.913
-10,42.889
-9,40.967
-8,39.142
-7,37.408
-6,35.761
-5,34.196
-4,32.707
-3,31.291
-2,29.945
-1,28.664
0,27.445
1,26.283
2,25.177
3,24.124
4,23.121
5,22.165
6,21.253
7,20.384
8,19.555
9,18.764
10,18.01
11,17.29
12,16.602
13,15.946
14,15.319
15,14.72
16,14.148
17,13.601
18,13.078
19,12.578
20,12.099
21,11.642
22,11.204
23,10.785
24,10.384
25,10
26,9.632
27,9.28
28,8.943
29,8.619
30,8.309
31,8.012
32,7.727
33,7.453
34,7.191
35,6.939
36,6.698
37,6.466
38,6.243
39,6.029
40,5.824
41,5.627
42,5.437
43,5.255
44,5.08
45,4.911
46,4.749
47,4.593
48,4.443
49,4.299
50,4.16
51,4.027
52,3.898
53,3.774
54,3.654
55,3.539
56,3.429
57,3.322
58,3.219
59,3.119
60,3.024
61,2.931
62,2.842
63,2.756
64,2.673
65,2.593
66,2.516
67,2.441
68,2.369
69,2.3
70,2.233
71,2.168
72,2.105
73,2.044
74,1.986
75,1.929
76,1.874
77,1.821
78,1.77
79,1.72
80,1.673
81,1.626
82,1.581
83,1.538
84,1.496
85,1.455
86,1.416
87,1.377
88,1.34
89,1.304
90,1.27
91,1.236
92,1.204
93,1.172
94,1.141
95,1.112
96,1.083
97,1.055
98,1.028
99,1.002
100,0.976
101,0.951
102,0.927
103,0.904
104,0.882
105,0.86
106,0.838
107,0.818
108,0.798
109,0.778
110,0.759
111,0.741
112,0.723
113,0.706
114,0.689
115,0.673
116,0.657
117,0.641
118,0.626
119,0.612
120,0.598
121,0.584
122,0.57
123,0.557
124,0.545
125,0.532
